swing_phase, Sync, time, data
0, 0, 0.08633089065551758, 0.6859999895095825 0.6740000247955322 0.6420000195503235 0.6660000085830688 0.6840000152587891 0.6759999990463257
0, 0, 0.08997201919555664, 0.6859999895095825 0.6740000247955322 0.6420000195503235 0.6660000085830688 0.6840000152587891 0.6759999990463257
0, 0, 0.09513068199157715, 0.6859999895095825 0.6740000247955322 0.6420000195503235 0.6660000085830688 0.6840000152587891 0.6759999990463257
0, 0, 0.0994720458984375, 0.6859999895095825 0.6740000247955322 0.6420000195503235 0.6660000085830688 0.6840000152587891 0.6759999990463257
0, 0, 0.1044471263885498, 0.6859999895095825 0.6740000247955322 0.6420000195503235 0.6660000085830688 0.6840000152587891 0.6759999990463257
0, 0, 0.10943198204040527, 0.6859999895095825 0.6740000247955322 0.6420000195503235 0.6660000085830688 0.6840000152587891 0.6759999990463257
0, 0, 0.11439299583435059, 0.6859999895095825 0.6740000247955322 0.6420000195503235 0.6660000085830688 0.6819999814033508 0.6759999990463257
0, 0, 0.1194295883178711, 0.6859999895095825 0.6740000247955322 0.6420000195503235 0.6660000085830688 0.6819999814033508 0.6759999990463257
0, 0, 0.12419557571411133, 0.6859999895095825 0.6740000247955322 0.6420000195503235 0.6660000085830688 0.6819999814033508 0.6759999990463257
0, 0, 0.1294386386871338, 0.6859999895095825 0.6740000247955322 0.6420000195503235 0.6660000085830688 0.6840000152587891 0.6759999990463257
0, 0, 0.13442587852478027, 0.6859999895095825 0.6740000247955322 0.6420000195503235 0.6660000085830688 0.6840000152587891 0.6759999990463257
0, 0, 0.13936972618103027, 0.6859999895095825 0.6740000247955322 0.6420000195503235 0.6660000085830688 0.6840000152587891 0.6759999990463257
0, 0, 0.14436960220336914, 0.6859999895095825 0.6740000247955322 0.6420000195503235 0.6660000085830688 0.6840000152587891 0.6759999990463257
0, 0, 0.14924025535583496, 0.6859999895095825 0.6740000247955322 0.6420000195503235 0.6660000085830688 0.6840000152587891 0.6759999990463257
0, 0, 0.15442824363708496, 0.6859999895095825 0.6740000247955322 0.6420000195503235 0.6660000085830688 0.6819999814033508 0.6759999990463257
0, 0, 0.1592421531677246, 0.6859999895095825 0.6740000247955322 0.6420000195503235 0.6660000085830688 0.6840000152587891 0.6759999990463257
0, 0, 0.1642322540283203, 0.6859999895095825 0.6740000247955322 0.6420000195503235 0.6660000085830688 0.6819999814033508 0.6759999990463257
0, 0, 0.16923189163208008, 0.6859999895095825 0.6740000247955322 0.6420000195503235 0.6660000085830688 0.6840000152587891 0.6759999990463257
0, 0, 0.17447471618652344, 0.6859999895095825 0.6740000247955322 0.6420000195503235 0.6660000085830688 0.6819999814033508 0.6759999990463257
0, 0, 0.17943477630615234, 0.6859999895095825 0.6740000247955322 0.6420000195503235 0.6660000085830688 0.6819999814033508 0.6759999990463257
0, 0, 0.18443512916564941, 0.6859999895095825 0.6740000247955322 0.6420000195503235 0.6660000085830688 0.6840000152587891 0.6759999990463257
0, 0, 0.1892073154449463, 0.6859999895095825 0.6740000247955322 0.6420000195503235 0.6660000085830688 0.6840000152587891 0.6759999990463257
0, 0, 0.1944422721862793, 0.6859999895095825 0.6740000247955322 0.6420000195503235 0.6660000085830688 0.6840000152587891 0.6759999990463257
0, 0, 0.19925546646118164, 0.6859999895095825 0.6740000247955322 0.6420000195503235 0.6660000085830688 0.6840000152587891 0.6759999990463257
0, 0, 0.20435690879821777, 0.6859999895095825 0.6740000247955322 0.6420000195503235 0.6660000085830688 0.6819999814033508 0.6759999990463257
0, 0, 0.20933914184570312, 0.6859999895095825 0.6740000247955322 0.6420000195503235 0.6660000085830688 0.6840000152587891 0.6759999990463257
0, 0, 0.2143383026123047, 0.6859999895095825 0.6740000247955322 0.6420000195503235 0.6660000085830688 0.6819999814033508 0.6759999990463257
0, 0, 0.2195117473602295, 0.6859999895095825 0.6740000247955322 0.6420000195503235 0.6660000085830688 0.6840000152587891 0.6759999990463257
0, 0, 0.22434043884277344, 0.6859999895095825 0.6740000247955322 0.6420000195503235 0.6660000085830688 0.6840000152587891 0.6759999990463257
0, 0, 0.2293384075164795, 0.6859999895095825 0.6740000247955322 0.6420000195503235 0.6660000085830688 0.6840000152587891 0.6759999990463257
