swing_phase, Sync, time, data
0, 0, 0.05319046974182129, 0.921999990940094 0.6919999718666077 0.8059999942779541 0.6660000085830688 0.8500000238418579 0.972000002861023
0, 0, 0.05834221839904785, 0.921999990940094 0.6919999718666077 0.8059999942779541 0.6660000085830688 0.8519999980926514 0.9739999771118164
0, 0, 0.0632176399230957, 0.9240000247955322 0.6919999718666077 0.8059999942779541 0.6660000085830688 0.8519999980926514 0.972000002861023
0, 0, 0.06824731826782227, 0.921999990940094 0.6899999976158142 0.8059999942779541 0.6660000085830688 0.8519999980926514 0.972000002861023
0, 0, 0.07339358329772949, 0.921999990940094 0.6919999718666077 0.8059999942779541 0.6660000085830688 0.8519999980926514 0.972000002861023
0, 0, 0.07816410064697266, 0.9240000247955322 0.6919999718666077 0.8059999942779541 0.6679999828338623 0.8539999723434448 0.972000002861023
0, 0, 0.08315300941467285, 0.921999990940094 0.6899999976158142 0.8059999942779541 0.6660000085830688 0.8519999980926514 0.972000002861023
0, 0, 0.08848190307617188, 0.921999990940094 0.6919999718666077 0.8059999942779541 0.6660000085830688 0.8519999980926514 0.9700000286102295
0, 0, 0.09318423271179199, 0.921999990940094 0.6919999718666077 0.8059999942779541 0.6679999828338623 0.8519999980926514 0.972000002861023
0, 0, 0.09825468063354492, 0.921999990940094 0.6919999718666077 0.8059999942779541 0.6660000085830688 0.8519999980926514 0.972000002861023
0, 0, 0.10323286056518555, 0.921999990940094 0.6919999718666077 0.8059999942779541 0.6660000085830688 0.8519999980926514 0.972000002861023
0, 0, 0.10840272903442383, 0.921999990940094 0.6919999718666077 0.8059999942779541 0.6679999828338623 0.8519999980926514 0.972000002861023
0, 0, 0.11362934112548828, 0.9240000247955322 0.6919999718666077 0.8059999942779541 0.6679999828338623 0.8519999980926514 0.972000002861023
0, 0, 0.11884784698486328, 0.921999990940094 0.6919999718666077 0.8040000200271606 0.6660000085830688 0.8519999980926514 0.972000002861023
0, 0, 0.12397456169128418, 0.921999990940094 0.6919999718666077 0.8059999942779541 0.6660000085830688 0.8519999980926514 0.972000002861023
0, 0, 0.12833571434020996, 0.9240000247955322 0.6919999718666077 0.8059999942779541 0.6679999828338623 0.8519999980926514 0.972000002861023
0, 0, 0.1338040828704834, 0.921999990940094 0.6899999976158142 0.8059999942779541 0.6660000085830688 0.8519999980926514 0.972000002861023
0, 0, 0.13843297958374023, 0.921999990940094 0.6899999976158142 0.8059999942779541 0.6660000085830688 0.8519999980926514 0.972000002861023
0, 0, 0.14324188232421875, 0.921999990940094 0.6919999718666077 0.8059999942779541 0.6660000085830688 0.8519999980926514 0.972000002861023
0, 0, 0.14823174476623535, 0.921999990940094 0.6919999718666077 0.8059999942779541 0.6660000085830688 0.8519999980926514 0.972000002861023
0, 0, 0.15343928337097168, 0.921999990940094 0.6899999976158142 0.8040000200271606 0.6660000085830688 0.8500000238418579 0.972000002861023
0, 0, 0.15845561027526855, 0.921999990940094 0.6919999718666077 0.8059999942779541 0.6679999828338623 0.8519999980926514 0.972000002861023
0, 0, 0.16335368156433105, 0.9240000247955322 0.6919999718666077 0.8059999942779541 0.6679999828338623 0.8519999980926514 0.972000002861023
0, 0, 0.16826272010803223, 0.921999990940094 0.6899999976158142 0.8040000200271606 0.6660000085830688 0.8500000238418579 0.972000002861023
0, 0, 0.17338967323303223, 0.921999990940094 0.6919999718666077 0.8040000200271606 0.6660000085830688 0.8500000238418579 0.972000002861023
