swing_phase, Sync, time, data
0, 0, 0.047727346420288086, 0.5559999942779541 0.5120000243186951 0.5 0.5419999957084656 0.5059999823570251 0.5479999780654907
0, 0, 0.052698373794555664, 0.5559999942779541 0.5120000243186951 0.5 0.5419999957084656 0.5080000162124634 0.5479999780654907
0, 0, 0.05770111083984375, 0.5559999942779541 0.5120000243186951 0.5 0.5419999957084656 0.5059999823570251 0.5479999780654907
0, 0, 0.0626983642578125, 0.5559999942779541 0.5120000243186951 0.5 0.5419999957084656 0.5080000162124634 0.5479999780654907
0, 0, 0.0677649974822998, 0.5559999942779541 0.5120000243186951 0.5 0.5419999957084656 0.5080000162124634 0.5479999780654907
0, 0, 0.07269906997680664, 0.5559999942779541 0.5120000243186951 0.5 0.5419999957084656 0.5059999823570251 0.5479999780654907
0, 0, 0.07769393920898438, 0.5559999942779541 0.5120000243186951 0.5 0.5419999957084656 0.5059999823570251 0.5479999780654907
0, 0, 0.08274412155151367, 0.5559999942779541 0.5120000243186951 0.5 0.5419999957084656 0.5059999823570251 0.5479999780654907
0, 0, 0.08770394325256348, 0.5559999942779541 0.5120000243186951 0.5 0.5419999957084656 0.5059999823570251 0.5479999780654907
0, 0, 0.09273624420166016, 0.5559999942779541 0.5120000243186951 0.5 0.5419999957084656 0.5059999823570251 0.5479999780654907
0, 0, 0.09770894050598145, 0.5559999942779541 0.5120000243186951 0.5 0.5419999957084656 0.5080000162124634 0.5479999780654907
0, 0, 0.10271883010864258, 0.5559999942779541 0.5120000243186951 0.5 0.5419999957084656 0.5059999823570251 0.5479999780654907
0, 0, 0.10769224166870117, 0.5559999942779541 0.5120000243186951 0.5 0.5419999957084656 0.5080000162124634 0.5479999780654907
0, 0, 0.1126859188079834, 0.5559999942779541 0.5120000243186951 0.5 0.5419999957084656 0.5059999823570251 0.5479999780654907
0, 0, 0.11774110794067383, 0.5559999942779541 0.5120000243186951 0.49799999594688416 0.5419999957084656 0.5059999823570251 0.5479999780654907
0, 0, 0.12274503707885742, 0.5559999942779541 0.5120000243186951 0.5 0.5419999957084656 0.5080000162124634 0.5479999780654907
0, 0, 0.12769365310668945, 0.5559999942779541 0.5120000243186951 0.5 0.5419999957084656 0.5059999823570251 0.5479999780654907
0, 0, 0.132904052734375, 0.5559999942779541 0.5120000243186951 0.5 0.5419999957084656 0.5059999823570251 0.5479999780654907
0, 0, 0.13769865036010742, 0.5559999942779541 0.5120000243186951 0.5 0.5419999957084656 0.5059999823570251 0.5479999780654907
0, 0, 0.14275097846984863, 0.5559999942779541 0.5120000243186951 0.5 0.5419999957084656 0.5059999823570251 0.5479999780654907
0, 0, 0.14772796630859375, 0.5559999942779541 0.5120000243186951 0.5 0.5419999957084656 0.5059999823570251 0.5479999780654907
0, 0, 0.1527256965637207, 0.5559999942779541 0.5120000243186951 0.5 0.5419999957084656 0.5059999823570251 0.5479999780654907
0, 0, 0.1577129364013672, 0.5559999942779541 0.5120000243186951 0.5 0.5419999957084656 0.5059999823570251 0.5479999780654907
0, 0, 0.16257643699645996, 0.5559999942779541 0.5120000243186951 0.5 0.5419999957084656 0.5059999823570251 0.5479999780654907
0, 0, 0.16770076751708984, 0.5559999942779541 0.5120000243186951 0.5 0.5419999957084656 0.5080000162124634 0.5479999780654907
0, 0, 0.17269182205200195, 0.5559999942779541 0.5120000243186951 0.5 0.5419999957084656 0.5059999823570251 0.5479999780654907
0, 0, 0.17769336700439453, 0.5559999942779541 0.5120000243186951 0.5 0.5419999957084656 0.5080000162124634 0.5479999780654907
0, 0, 0.1827411651611328, 0.5559999942779541 0.5120000243186951 0.5 0.5419999957084656 0.5059999823570251 0.5479999780654907
0, 0, 0.18769264221191406, 0.5559999942779541 0.5120000243186951 0.5 0.5419999957084656 0.5059999823570251 0.5479999780654907
0, 0, 0.1927318572998047, 0.5559999942779541 0.5120000243186951 0.5 0.5419999957084656 0.5059999823570251 0.5479999780654907
0, 0, 0.19758892059326172, 0.5559999942779541 0.5120000243186951 0.5 0.5419999957084656 0.5080000162124634 0.5479999780654907
0, 0, 0.20273661613464355, 0.5559999942779541 0.5120000243186951 0.5 0.5419999957084656 0.5080000162124634 0.5479999780654907
0, 0, 0.20757031440734863, 0.5559999942779541 0.5120000243186951 0.5 0.5419999957084656 0.5059999823570251 0.5479999780654907
0, 0, 0.2126755714416504, 0.5559999942779541 0.5120000243186951 0.5 0.5419999957084656 0.5059999823570251 0.5479999780654907
0, 0, 0.21761202812194824, 0.5559999942779541 0.5120000243186951 0.5 0.5419999957084656 0.5059999823570251 0.5479999780654907
0, 0, 0.22265028953552246, 0.5559999942779541 0.5120000243186951 0.5 0.5419999957084656 0.5080000162124634 0.5479999780654907
0, 0, 0.22754526138305664, 0.5559999942779541 0.5120000243186951 0.5 0.5419999957084656 0.5059999823570251 0.5479999780654907
0, 0, 0.2325589656829834, 0.5559999942779541 0.5120000243186951 0.5 0.5419999957084656 0.5080000162124634 0.5479999780654907
0, 0, 0.23787236213684082, 0.5559999942779541 0.5120000243186951 0.5 0.5419999957084656 0.5059999823570251 0.5479999780654907
0, 0, 0.24277496337890625, 0.5559999942779541 0.5120000243186951 0.5 0.5419999957084656 0.5059999823570251 0.5479999780654907
0, 0, 0.24793291091918945, 0.5559999942779541 0.5120000243186951 0.5 0.5419999957084656 0.5059999823570251 0.5479999780654907
0, 0, 0.2526981830596924, 0.5559999942779541 0.5120000243186951 0.5 0.5419999957084656 0.5059999823570251 0.5479999780654907
0, 0, 0.25771641731262207, 0.5559999942779541 0.5120000243186951 0.5 0.5419999957084656 0.5059999823570251 0.5479999780654907
0, 0, 0.26271677017211914, 0.5559999942779541 0.5120000243186951 0.5 0.5419999957084656 0.5080000162124634 0.5479999780654907
0, 0, 0.267669677734375, 0.5559999942779541 0.5120000243186951 0.5 0.5419999957084656 0.5059999823570251 0.5479999780654907
0, 0, 0.27288269996643066, 0.5559999942779541 0.5120000243186951 0.5 0.5419999957084656 0.5059999823570251 0.5479999780654907
0, 0, 0.27782320976257324, 0.5559999942779541 0.5120000243186951 0.5 0.5419999957084656 0.5080000162124634 0.5479999780654907
0, 0, 0.28282737731933594, 0.5559999942779541 0.5120000243186951 0.5 0.5419999957084656 0.5059999823570251 0.5479999780654907
0, 0, 0.287827730178833, 0.5559999942779541 0.5120000243186951 0.5 0.5419999957084656 0.5059999823570251 0.5479999780654907
0, 0, 0.2928287982940674, 0.5559999942779541 0.5120000243186951 0.5 0.5419999957084656 0.5080000162124634 0.5479999780654907
0, 0, 0.2978339195251465, 0.5559999942779541 0.5120000243186951 0.5 0.5419999957084656 0.5080000162124634 0.5479999780654907
0, 0, 0.30281829833984375, 0.5559999942779541 0.5120000243186951 0.5 0.5419999957084656 0.5059999823570251 0.5479999780654907
0, 0, 0.3076298236846924, 0.5559999942779541 0.5120000243186951 0.5 0.5419999957084656 0.5059999823570251 0.5479999780654907
0, 0, 0.31282520294189453, 0.5559999942779541 0.5120000243186951 0.5 0.5419999957084656 0.5059999823570251 0.5479999780654907
0, 0, 0.3178269863128662, 0.5559999942779541 0.5120000243186951 0.5 0.5419999957084656 0.5059999823570251 0.5479999780654907
0, 0, 0.32282352447509766, 0.5559999942779541 0.5120000243186951 0.5 0.5419999957084656 0.5059999823570251 0.5479999780654907
0, 0, 0.3278234004974365, 0.5559999942779541 0.5120000243186951 0.5 0.5419999957084656 0.5059999823570251 0.5479999780654907
0, 0, 0.3328211307525635, 0.5559999942779541 0.5120000243186951 0.5 0.5419999957084656 0.5059999823570251 0.5479999780654907
0, 0, 0.33783745765686035, 0.5559999942779541 0.5120000243186951 0.5 0.5419999957084656 0.5080000162124634 0.5479999780654907
0, 0, 0.342864990234375, 0.5559999942779541 0.5120000243186951 0.5 0.5419999957084656 0.5059999823570251 0.5479999780654907
0, 0, 0.3478577136993408, 0.5559999942779541 0.5120000243186951 0.5 0.5419999957084656 0.5059999823570251 0.5479999780654907
0, 0, 0.3528316020965576, 0.5559999942779541 0.5120000243186951 0.5 0.5419999957084656 0.5059999823570251 0.5479999780654907
0, 0, 0.3578341007232666, 0.5559999942779541 0.5120000243186951 0.5 0.5419999957084656 0.5059999823570251 0.5479999780654907
0, 0, 0.3626391887664795, 0.5559999942779541 0.5120000243186951 0.5 0.5419999957084656 0.5059999823570251 0.5479999780654907
0, 0, 0.3678250312805176, 0.5559999942779541 0.5120000243186951 0.5 0.5419999957084656 0.5059999823570251 0.5479999780654907
0, 0, 0.37290406227111816, 0.5559999942779541 0.5120000243186951 0.5 0.5419999957084656 0.5059999823570251 0.5479999780654907
